Date,venue,City,State,Country,Recording Surfaced
7/3/1992,Palacio de los Deportes de la Comunidad de Madrid,Madrid,,Spain ,TRUE
7/4/1992,Pabellón de la Casilla de Bilbao,Bilbao,,Spain ,FALSE
8/30/1992,Richfield Avenue (Reading Festival),Reading,,United Kingdom,TRUE
9/8/1992,"Edwin W. Pauley Pavilion, UCLA (MTV Video Music Awards rehearsal)",Los Angeles,CA,United States,FALSE
9/8/1992,"Edwin W. Pauley Pavilion, UCLA (MTV Video Music Awards rehearsals)",Los Angeles,CA,United States,TRUE
9/9/1992,"Edwin W. Pauley Pavilion, UCLA (MTV Video Music Awards rehearsal)",Los Angeles,CA,United States,FALSE
9/9/1992,"Edwin W. Pauley Pavilion, UCLA (MTV Video Music Awards)",Los Angeles,CA,United States,TRUE
9/10/1992,Portland Meadows,Portland,OR,United States,TRUE
9/11/1992,Seattle Center Coliseum,Seattle,WA,United States,TRUE
9/26/1992,Castaic Lake Amphitheatre,Castaic,CA,United States,TRUE
10/3/1992,Carver Gymnasium,Bellingham,WA,United States,TRUE
10/4/1992,Crocodile Cafe,Seattle,WA,United States,TRUE
10/30/1992,Estadio José Amalfitani,Buenos Aires,,Argentina,TRUE
1/16/1993,Estádio Cícero Pompeu de Toledo (Hollywood Rock Festival),São Paulo,,Brazil,TRUE
1/23/1993,Praça da Apoteose (Hollywood Rock Festival),Rio de Janeiro,,Brazil,TRUE
4/9/1993,Cow Palace,Daly City,CA,United States,TRUE
7/23/1993,Roseland Ballroom,New York,NY,United States,TRUE
8/6/1993,King Performance Center (Mia Zapata Benefit),Seattle,WA,United States,TRUE
9/8/1993,Club Lingerie (Rock Against Rape Benefit),Hollywood,CA,United States,TRUE
9/23/1993,NBC Studios (Saturday Night Live rehearsals),New York,NY,United States,TRUE
9/25/1993,NBC Studios (Saturday Night Live dress rehearsal),New York,NY,United States,FALSE
9/25/1993,NBC Studios (Saturday Night Live),New York,NY,United States,TRUE
10/18/1993,Veterans Memorial Coliseum (Arizona State Fair),Phoenix,AZ,United States,TRUE
10/19/1993,"SE Exhibit Hall, Albuquerque Convention Center",Albuquerque,NM,United States,FALSE
10/21/1993,Memorial Hall,Kansas City,KS,United States,TRUE
10/22/1993,Palmer Alumni Auditorium,Davenport,IA,United States,TRUE
10/23/1993,Aragon Ballroom,Chicago,IL,United States,TRUE
10/25/1993,Aragon Ballroom,Chicago,IL,United States,FALSE
10/26/1993,Mecca Auditorium,Milwaukee,WI,United States,TRUE
10/27/1993,Wings Stadium,Kalamazoo,MI,United States,FALSE
10/29/1993,Michigan State Fairgrounds Coliseum,Detroit,MI,United States,TRUE
10/30/1993,Hara Arena,Dayton,OH,United States,TRUE
10/31/1993,University of Akron,Akron,OH,United States,TRUE
11/2/1993,Auditorium de Verdun,Verdun,QC,Canada,TRUE
11/4/1993,Maple Leaf Gardens,Toronto,ON,Canada,TRUE
11/5/1993,University at Buffalo,Amherst,NY,United States,TRUE
11/7/1993,"William and Mary Hall, The College of William & Mary",Williamsburg,VA,United States,TRUE
11/8/1993,Armory,Philadelphia,PA,United States,TRUE
11/9/1993,Lehigh University,Bethlehem,PA,United States,TRUE
11/10/1993,Springfield Civic Center,Springfield,MA,United States,TRUE
11/12/1993,George Wallace Civic Center,Fitchburg,MA,United States,TRUE
11/13/1993,American University,Washington,DC,United States,TRUE
11/14/1993,New York Coliseum,New York,NY,United States,TRUE
11/15/1993,Roseland Ballroom,New York,NY,United States,TRUE
11/16/1993,SST Rehearsal Facility (MTV Unplugged rehearsals),Weehawken,NJ,United States,FALSE
11/17/1993,SST Rehearsal Facility (MTV Unplugged rehearsals),Weehawken,NJ,United States,FALSE
11/18/1993,Sony Music Studios (MTV Unplugged rehearsal),New York,NY,United States,TRUE
11/18/1993,Sony Music Studios (MTV Unplugged rehearsals),New York,NY,United States,TRUE
11/18/1993,Sony Music Studios (MTV Unplugged),New York,NY,United States,TRUE
11/26/1993,Morocco Shrine Auditorium,Jacksonville,FL,United States,FALSE
11/27/1993,AT&T Bayfront Park Amphitheater,Miami,FL,United States,TRUE
11/28/1993,"Jenkins Arena, Lakeland Civic Center",Lakeland,FL,United States,FALSE
11/29/1993,Omni,Atlanta,GA,United States,TRUE
12/1/1993,Boutwell Municipal Auditorium,Birmingham,AL,United States,FALSE
12/2/1993,Tallahassee-Leon County Civic Center,Tallahassee,FL,United States,TRUE
12/3/1993,Senator Nat G. Kiefer University of New Orleans Lakefront Arena,New Orleans,LA,United States,TRUE
12/5/1993,Fairpark Coliseum,Dallas,TX,United States,TRUE
12/6/1993,Astroarena,Houston,TX,United States,FALSE
12/8/1993,Travel and Transportation Building,Oklahoma City,OK,United States,TRUE
12/9/1993,Ak-Sar-Ben Coliseum,Omaha,NE,United States,FALSE
12/10/1993,Roy Wilkins Auditorium,St. Paul,MN,United States,TRUE
12/13/1993,Pier 48 (MTV Live and Loud rehearsal),Seattle,WA,United States,TRUE
12/13/1993,Pier 48 (MTV Live and Loud rehearsals),Seattle,WA,United States,TRUE
12/13/1993,Pier 48 (MTV Live and Loud),Seattle,WA,United States,TRUE
12/14/1993,Salem Armory Auditorium,Salem,OR,United States,TRUE
12/15/1993,"The Pavilion, Boise State University",Boise,ID,United States,FALSE
12/16/1993,Golden Spike Arena,Ogden,UT,United States,FALSE
12/18/1993,Coliseum,Denver,CO,United States,TRUE
12/29/1993,San Diego Sports Arena,San Diego,CA,United States,TRUE
12/30/1993,Great Western Forum,Inglewood,CA,United States,TRUE
12/31/1993,Oakland-Alameda County Coliseum Arena,Oakland,CA,United States,TRUE
1/1/1994,"Compton Arena, Jackson County Fairgrounds/Expo Park",Central Point,OR,United States,FALSE
1/3/1994,Pacific National Exhibition Forum,Vancouver,BC,Canada,FALSE
1/4/1994,Pacific National Exhibition Forum,Vancouver,BC,Canada,TRUE
1/6/1994,Spokane Coliseum,Spokane,WA,United States,FALSE
1/6/1994,Spokane Coliseum,Spokane,WA,United States,TRUE
1/7/1994,Seattle Center Arena,Seattle,WA,United States,TRUE
1/8/1994,Seattle Center Arena,Seattle,WA,United States,TRUE
2/4/1994,"Studio 3, Canal+ (Nulle Part Ailleurs)",Paris,,France,TRUE
2/6/1994,Pavilhão do Grupo Dramático e Sportivo de Cascais,Cascais,,Portugal,TRUE
2/8/1994,Pabellón de Deportes del Real Madrid,Madrid,,Spain,TRUE
